,s_id,Station_name,Street,Neighbourhood,Area_loc,s_lat,s_lon,s_num_docks,Size_bucket
0,1023,"River Street , Clerkenwell",River Street,Clerkenwell,North,51.529163,-0.10997,19,100
1,1018,"Phillimore Gardens, Kensington",Phillimore Gardens,Kensington,South_West,51.499606,-0.197574,37,150
2,1012,"Christopher Street, Liverpool Street",Christopher Street,Liverpool Street,East,51.521283,-0.084605,32,150
3,1013,"St. Chad's Street, King's Cross",St. Chad's Street,King's Cross,North,51.530059,-0.120973,23,100
4,3420,"Sedding Street, Sloane Square",Sedding Street,Sloane Square,South_West,51.49313,-0.156876,24,100
5,3424,"Broadcasting House, Marylebone",Broadcasting House,Marylebone,Central,51.518117,-0.144228,17,100
6,3422,"Charlbert Street, St. John's Wood",Charlbert Street,St. John's Wood,North,51.5343,-0.168074,16,100
7,3423,"Maida Vale, Maida Vale",Maida Vale,Maida Vale,West,51.529857,-0.183486,39,150
8,1015,"New Globe Walk, Bankside",New Globe Walk,Bankside,East,51.507385,-0.09644,17,100
9,1024,"Park Street, Bankside",Park Street,Bankside,East,51.505974,-0.092754,18,100
10,1022,"Brunswick Square, Bloomsbury",Brunswick Square,Bloomsbury,North,51.523951,-0.122502,23,100
11,980,"Malet Street, Bloomsbury",Malet Street,Bloomsbury,Central,51.52168,-0.130431,48,200
12,970,"Scala Street, Fitzrovia",Scala Street,Fitzrovia,Central,51.519914,-0.136039,21,100
13,1011,"Argyle Street, Kings Cross",Argyle Street,Kings Cross,North,51.529416,-0.123944,43,150
14,988,"Great Russell Street, Bloomsbury",Great Russell Street,Bloomsbury,Central,51.517727,-0.127854,25,100
15,1010,"Cartwright Gardens , Bloomsbury",Cartwright Gardens,Bloomsbury,North,51.526357,-0.125979,21,100
16,1008,"Hatton Wall, Holborn",Hatton Wall,Holborn,Central,51.521661,-0.109006,26,100
17,1007,"Drury Lane, Covent Garden",Drury Lane,Covent Garden,Central,51.51477,-0.122219,26,100
18,1009,"Taviton Street, Bloomsbury",Taviton Street,Bloomsbury,North,51.52505,-0.131161,30,100
19,993,"Drummond Street , Euston",Drummond Street,Euston,North,51.527326,-0.136052,28,100
20,3426,"Lansdowne Drive, Hackney Central",Lansdowne Drive,Hackney Central,North,51.539834,-0.062806,26,100
21,3425,"Northington Street , Holborn",Northington Street,Holborn,Central,51.522264,-0.114079,19,100
22,3421,"Red Lion Square, Holborn",Red Lion Square,Holborn,Central,51.519435,-0.119123,16,100
23,981,"British Museum, Bloomsbury",British Museum,Bloomsbury,Central,51.51908,-0.124678,33,150
24,1004,"Doric Way , Somers Town",Doric Way,Somers Town,North,51.528833,-0.13225,50,200
